articleName,articleTime,articleUrl,articleWriter
Принципы проектирования интегральной модели оценки надежности информационно-вычислительных систем,2008 ,https://cyberleninka.ru/article//article/n/printsipy-proektirovaniya-integralnoy-modeli-otsenki-nadezhnosti-informatsionno-vychislitelnyh-sistem," Гузик В. Ф., Самойленко А. П., Мунтян Е. Р."
Алгоритм взаимного исключения в пиринговых системах,2009 ,https://cyberleninka.ru/article//article/n/algoritm-vzaimnogo-isklyucheniya-v-piringovyh-sistemah," Губарев Василий Васильевич, Обейдат Aтеф Ахмед"
Применение нейро-нечеткой технологии ANFIS в задачах фильтрации звуковых сигналов,2003 ,https://cyberleninka.ru/article//article/n/primenenie-neyro-nechetkoy-tehnologii-anfis-v-zadachah-filtratsii-zvukovyh-signalov, Метан Г. Н.
Защита информации в критически важных сегментах систем автономного электроснабжения с компьютеризированным управлением,2005 ,https://cyberleninka.ru/article//article/n/zaschita-informatsii-v-kriticheski-vazhnyh-segmentah-sistem-avtonomnogo-elektrosnabzheniya-s-kompyuterizirovannym-upravleniem, Климов М. К.
Размежевание информационных систем и it в науке и образовательных программах,2007 ,https://cyberleninka.ru/article//article/n/razmezhevanie-informatsionnyh-sistem-i-it-v-nauke-i-obrazovatelnyh-programmah, Волкова Виолетта Николаевна
Модель современной системы мониторинга подвижных объектов с гарантированной доставкой сообщений в гетерогенной беспроводной сети,2009 ,https://cyberleninka.ru/article//article/n/model-sovremennoy-sistemy-monitoringa-podvizhnyh-obektov-s-garantirovannoy-dostavkoy-soobscheniy-v-geterogennoy-besprovodnoy-seti, Пакулова Екатерина Анатольевна
Моделирование подразделений МЧС на основе групповых объектов,2010 ,https://cyberleninka.ru/article//article/n/modelirovanie-podrazdeleniy-mchs-na-osnove-gruppovyh-obektov, Седельников Юрий Викторович
Декомпозиция сложной электронной карты в геоинформационной системе,1997 ,https://cyberleninka.ru/article//article/n/dekompozitsiya-slozhnoy-elektronnoy-karty-v-geoinformatsionnoy-sisteme," Самойлов Л. К., Беляков С. Л., Сидоренко М. П."
Внедрение открытых геоинформационных технологий в методику экологического планирования,2010 ,https://cyberleninka.ru/article//article/n/vnedrenie-otkrytyh-geoinformatsionnyh-tehnologiy-v-metodiku-ekologicheskogo-planirovaniya," Дротиков М. А., Дедков В. П., Напреенко М. Г."
Оценка эффективности параллельных алгоритмов для моделирования многослойного персептрона,2010 ,https://cyberleninka.ru/article//article/n/otsenka-effektivnosti-parallelnyh-algoritmov-dlya-modelirovaniya-mnogosloynogo-perseptrona, Симонов Василий Владимирович
Программная модель коммуникационной среды нейросупертранспьютера,1997 ,https://cyberleninka.ru/article//article/n/programmnaya-model-kommunikatsionnoy-sredy-neyrosupertranspyutera," Чернухин Ю. B., Кизогло М. А."
Языковая модель исполнимых кодов,2010 ,https://cyberleninka.ru/article//article/n/yazykovaya-model-ispolnimyh-kodov, Эдель Дмитрий Александрович
Цифровая система для длительного ЭЭГ-видеомониторинга в эпилептологии,2002 ,https://cyberleninka.ru/article//article/n/tsifrovaya-sistema-dlya-dlitelnogo-eeg-videomonitoringa-v-epileptologii," Захаров С. М., Захарчук С. А., Луцев А. Н., Скоморохов А. А."
Ориентированные графы в реляционных базах данных,2008 ,https://cyberleninka.ru/article//article/n/orientirovannye-grafy-v-relyatsionnyh-bazah-dannyh, Маликов Андрей Валерьевич
Автоматизированное управление технологическими процессам в сельхозмашиностроении,1998 ,https://cyberleninka.ru/article//article/n/avtomatizirovannoe-upravlenie-tehnologicheskimi-protsessam-v-selhozmashinostroenii, Ткачев А. Г.
Восстановление изображения объекта по различным ракурсам,2001 ,https://cyberleninka.ru/article//article/n/vosstanovlenie-izobrazheniya-obekta-po-razlichnym-rakursam," Панов Д. И., Амнинов Д. В."
О средствах защиты цифровой и аналоговой информации,2003 ,https://cyberleninka.ru/article//article/n/o-sredstvah-zaschity-tsifrovoy-i-analogovoy-informatsii," Заргаров Ш. А., Ахмаджонов А."
Разработка метода построения информационных функционально-ориентированных моделей предприятия,2008 ,https://cyberleninka.ru/article//article/n/razrabotka-metoda-postroeniya-informatsionnyh-funktsionalno-orientirovannyh-modeley-predpriyatiya, Рогозов Ю. И.
Интегрированные библиотечные системы в жизни современной библиотеки,2007 ,https://cyberleninka.ru/article//article/n/integrirovannye-bibliotechnye-sistemy-v-zhizni-sovremennoy-biblioteki," Кейглер Галина Алексеевна, Удотова Вера Николаевна"
пользовательская техническая компьютерная угроза и способы защиты от нее на основе обработки избыточных и закрытых запросов к базам данных,2007 ,https://cyberleninka.ru/article//article/n/polzovatelskaya-tehnicheskaya-kompyuternaya-ugroza-i-sposoby-zaschity-ot-nee-na-osnove-obrabotki-izbytochnyh-i-zakrytyh-zaprosov-k-bazam, Варламов О. О.
