cuttext,link,publisher,title
"Сервис онлайн-образования Яндекс.Практикум запустил курс «React-разработчик» — двухмесячный интенсив для погружения в экосистему React, работы с популярными технологиями и изучения их альтернатив. Курс подойдёт тем, кто уже умеет верстать и знает основы JavaScript.

Выпускники получат сертификат — официальный документ о дополнительном образовании. 

 ",/ru/company/yandex_praktikum/news/t/544334/,"
      eshulyndina
    ",Яндекс.Практикум запустил курс «React-разработчик»
"

Разработчик под ником Blue Edge опубликовал на GitHub проект Windows 11 in React — это визуализация интерфейса Windows 11 в браузере с помощью React. Автор создал сайт win11.blueedge.me, где уже доступны основные элементы рабочего стола новой ОС для ознакомления и начального понимания, как она работает.  ",/ru/news/t/575002/,"
      denis-19
    ",Энтузиаст создает интерфейс Windows 11 на React в браузере
,/ru/company/alfa/news/t/667470/,"
      AlfaTeam
    ","Процветание проектов, React-router v6, RTK query и карьерная лестница в ад на Meet Up JS"
"На начальном уровне такие переводы — мой вклад в развитие rails сообщества.
Дальше в тексте все, что выделено курсивом, мои замечания (таких будет не много)



Введение в React.js

React.js — это новый популярный парень из команды JavaScript фреймворков, он выделяется своей простотой. Когда другие фреймворки реализуют полный MVC (Model View Controller) подход, мы можем сказать React'у реализовать только View (Отображение) (факт — некоторые люди переписывают часть отображения (V) этих фреймворков c помощью React).

Приложения с реактом основаны на 2х основных принципах Компоненты и Состояния. Компоненты могут состоять из более мелких компонентов встроенных или пользовательских. Состояния, что ребята из Facebook называют односторонний реактивный поток данных, подразумевая что наш интерфейс(UI) будет реагировать на каждое изменение состояния.

Одна хорошая особенность React.js это то что он не требует каких-либо дополнительных зависимостей, что обеспечивает ему подключаемость с любой js библиотекой. Пользуясь этим, мы будем включать его в наш Rails стек для создания внешнего интерфейса или можно сказать для создания «Rails на стероидах».

Макет для отслеживания расходов приложения

Для этого гайда мы создадим маленькое приложение с нуля что бы отслеживать наши действия. Каждая запись(дальше, тоже самое что и Record) будет состоять из даты, названия и суммы. Запись будет рассматриваться как Кредит(Credit) если его сумма больше нуля, в противном случае она будет рассматриваться каr дебет. Вот макет проекта:



Суммарно приложение будет вести себя так:

Когда пользователь создает новую запись через горизонтальную форму, она будет вставлена в таблицу записей 
Пользователь может редактировать любую существующую запись 
Кликнув на кнопку Delete он удалит ассоциацию из таблицы 
Добавление, редактирование или удаление существующей записи будет обновлять сумму в боксах в верху страницы 


 Инициализация React.js в Rails проект 
 ",/ru/post/281735/,"
      markosipenko
    ",React.js — Руководство для Rails разработчиков
"Оглавление
1. Getting started with React
....1.1 Методы добавления React
....1.2 Выбор метода добавления
........1.2.1 Добавление React с помощью тэга <script />
........1.2.2 Добавление React с помощью create-react-app
2. Basically React
....2.1 React object
....2.2 React element
........2.2.1 CreateElement
........2.2.2 CloneElement
........2.2.3 IsValidElement
........2.2.4 Children
....2.3 React компоненты
........2.3.1 React.Component
........2.3.2 React.Fragment
.........2.3.3 State
.........2.3.4 Events
.........2.3.5 Lifecycle
.........2.3.6 Refs
....2.4 ReactDOM
........2.4.1 Render
........2.4.2 Hydrate
........2.4.3 UnmountComponentAtNode
........2.4.4 CreatePortal
3. Other topics
....3.1 Lists and Keys
....3.2 Error Handling
........3.2.1 getDerivedStateFromError
........3.2.2 componentDidCatch
Заключение

React — JavaScript-библиотека с открытым исходным кодом для разработки пользовательских интерфейсов.

1. Getting started with React
1.1 Методы добавления React
Существует 2 основных метода для добавления React на сайт:


С помощью тэга <script />
С помощью create-react-app

1.2 Выбор метода добавления
Выбор метода зависит от потребностей. Если вы просто хотите добавить немного интерактивности на существующую страницу или хотите просто попробовать React тогда используйте первый метод подключения. Если вы собираетесь построить полноценное React приложение, то используйте create-react-app.

1.2.1 Добавление React с помощью тэга <script />
Шаг 1 Добавьте 3 тега в контейнер head на вашей странице:
<script src=""https://unpkg.com/react@16/umd/react.development.js""></script>
<script src=""https://unpkg.com/react-dom@16/umd/react-dom.development.js""></script>
<script src=""https://unpkg.com/babel-standalone@6.15.0/babel.min.js""></script>
Здесь подключаются библиотеки React и React-dom, а также компилятор babel.
Babel не является обязательным для использования React, но полезным для написания кода UI, с помощью JSX.
Шаг 2 Добавьте пустой  контейнер на вашу страницу чтобы отметить место, где вы хотите что-либо отобразить с помощью React. ",/ru/post/461541/,"
      Elliot_001
    ",Введение в React
,/ru/post/596183/,"
      raoffonom
    ",Что такое React Native? Комплексное руководство 2021
"Мы рады представить вам наш первый релиз-кандидат версии React 0.14! Мы опубликовали в июле анонс предстоящих изменениях, но сейчас мы еще больше стабилизировали релиз и нам бы хотелось, чтобы вы попробовали его до того, как мы выпустим финальную версию.

Сообщите нам, если у вас возникли любые проблемы, создав задачу в нашем GitHub репозитории

 ",/ru/post/266683/,"
      rajdee
    ",Обзор релиз-кандидата React v0.14
"В этом уроке мы будем изучать React Native – фреймворк от компании Facebook для создания нативных приложений под iOS и Android. У него много общего с другим очень популярным фреймворком от Facebook – React Javascript, который предназначен для построения декларативных пользовательских интерфейсов.


 ",/ru/company/plarium/blog/303328/,"
      Plarium
    ",Создаем приложение на JavaScript с помощью React Native
"Это перевод поста Эндрю Кларка о выходе столь ожидаемой версии React. Оригинальный пост в блоге React.
Мы с удовольствием сообщаем о выходе React v16.0! Среди изменений некоторые давно ожидаемые нововведения, например фрагменты, обработка ошибок (error boundaries), порталы, поддержка произвольных DOM-атрибутов, улучшения в серверном рендере, и уменьшенный размер файла. ",/ru/post/338932/,"
      dagen
    ",Вышел React v16.0
"Вышел React 16! Рассказывая об этом событии, можно упомянуть множество замечательных новостей (вроде архитектуры ядра Fibers), но лично меня больше всего восхищают улучшения серверного рендеринга. Предлагаю подробно всё это разобрать и сравнить с тем, что было раньше. Надеюсь, серверный рендеринг в React 16 понравится вам так же, как он понравился мне.

 ",/ru/company/ruvds/blog/339148/,"
      ru_vds
    ",Новшества серверного рендеринга в React 16
"Люди, вроде меня, которые борются за высокую производительность сайтов, часто тратят на это много времени. Поэтому сейчас я собираюсь раз и навсегда решить проблему низкого быстродействий веб-ресурсов, интерфейс которых написан на React. А именно, я предлагаю всем, кто это читает, сегодня же прекратить пользоваться React.



Автор материала, перевод которого мы сегодня публикуем, конечно же, шутит. Здесь речь пойдёт о том, как оптимизировать производительность React-приложений. Кстати, прежде чем начать, подумаем о том, зачем вообще нужна оптимизация сайтов. Пожалуй, можно сказать, что нужна она для того, чтобы сайтом могло бы пользоваться больше людей, чем до оптимизации.
 ",/ru/company/ruvds/blog/442650/,"
      ru_vds
    ",Анализ и оптимизация React-приложений
"Автор материала, перевод которого мы публикуем, недавно выпустил своё первое мобильное приложение, написанное на React Native. Так случилось, что это приложение стало и его первым проектом, который он создал как программист-фрилансер. Здесь он расскажет о том, с чем ему пришлось столкнуться в ходе работы — от инициализации проекта до его публикации в App Store и Google Play.

 ",/ru/company/ruvds/blog/447574/,"
      ru_vds
    ",Записки фрилансера: разработка первого React Native-приложения
"
Одна из самых запрашиваемых тем, среди подписчиков моего канала Димка Реактнативный — это аутентификация и авторизация в приложении React Native. Поэтому я решил посветить этому вопросу отдельный лонгрид и перед тем как мы начнем кодить, необходимо разобраться с определением Аутентификация/Авторизация. ",/ru/post/504344/,"
      raoffonom
    ",Аутентификация — CUSTOM SETUP / AWS Amplify + React Native
"

Прежде чем мы начнём разговор о способах импорта в веб-проекты библиотеки React, покажу современные способы выполнения этой операции и использования хука useState:

// Глобальный подход
window.React.useState()
// Использование импорта в стиле CommonJS
const React = require('react')
React.useState()
// ES-модули, импорт значения, экспортируемого по умолчанию
import React from 'react'
React.useState()
// ES-модули, именованный импорт
import {useState} from 'react'
useState()
// ES-модули, импорт пространства имён
import * as React from 'react'
React.useState()

Ниже я расскажу об истоках каждого из этих механизмов, и о том, почему я предпочитаю использовать последний из них. ",/ru/company/ruvds/blog/532338/,"
      ru_vds
    ",Импорт react с древнейших времен до наших дней
" Привет, Хаброжители! Хотите создавать эффективные приложения с помощью React? Тогда эта книга написана для вас. Познакомьтесь c лучшими практиками и шаблонами создания современного кода.

Вам не потребуются глубокие знания React или функционала JavaScript — достаточно знакомства с принципами работы JavaScript, CSS и HTML.

Алекс Бэнкс и Ева Порселло научат вас создавать пользовательские интерфейсы, которые будут динамически отображать изменения без необходимости перезагрузки страницы даже на крупномасштабных сайтах, работающих с огромными массивами данных. ",/ru/company/piter/blog/577862/,"
      ph_piter
    ",Книга «React: современные шаблоны для разработки приложений 2-е издание»
,/ru/post/659537/,"
      ssurrokk
    ",React 18
,/ru/post/662549/,"
      ssurrokk
    ",Fiber изнутри: Погружение в новый алгоритм согласования React
"Оригинал: React To The Future With Isomorphic Apps

Изоморфные приложения. Взгляд в будущее с React
В разработке программного обеспечения все часто возвращается на круги своя. Так, например, на заре развития Интернета серверы подгружали контент сразу же на сторону клиента. В последнее же время, с разработкой современных веб-фреймворков, таких как AngularJS и Ember, мы видим тенденцию к обработке запросов на стороне клиента и использованию сервера только для API. Однако, это далеко не единственная тенденция. Сейчас происходит медленное возвращение или, скорее, слияние этих двух архитектур.
 ",/ru/post/259625/,"
      greebn9k
    ",Изоморфные приложения. Взгляд в будущее с React
"
Лицо моей жены, когда она вычитывала эту статью
Я решил написать цикл статей, который и сам был бы счастлив найти где-то полгода назад. Он будет интересен в первую очередь тем, кто хотел бы начать разрабатывать классные приложения на React.js, но не знает, как подступиться к зоопарку разных технологий и инструментов, которые необходимо знать для полноценной front-end разработки в наши дни.
Я хочу с нуля реализовать, пожалуй, наиболее востребованный сценарий: у нас есть серверная часть, которая предоставляет REST API. Часть его методов требует, чтобы пользователь веб-приложения был авторизован.  ",/ru/post/309958/,"
      yury-dymov
    ",React.js: собираем с нуля изоморфное / универсальное приложение. Часть 1: собираем стек
"
Разработка изоморфного приложения глазами моей жены
Это продолжение статьи про разработку изоморфного приложения с нуля на React.js. В этой части мы добавим несколько страниц, bootstrap, роутинг, концепцию Flux и ее популярную реализацию Redux. ",/ru/post/310284/,"
      yury-dymov
    ","React.js: собираем с нуля изоморфное / универсальное приложение. Часть 2: добавляем bootstrap, страницы и роутинг"
"Я тружусь в компании Mutual. Она работает в Бразилии, в сфере равноправного кредитования. Мы помогаем заёмщикам и заимодавцам наладить связь друг с другом. Первые ищут хорошие ставки, а вторые — доходы, превышающие то, что может предложить им рынок. Наш продукт применяется широким кругом пользователей, мы работаем в большой стране. В результате наши приложения для iOS и Android, основанные на React Native, загружают на очень разные устройства.

 ",/ru/company/ruvds/blog/502422/,"
      ru_vds
    ",Уменьшение размера React Native-приложения на 60% за несколько простых шагов
